# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
1,209.989635,['1_train', '1_test'],[1.0, -0.053774066269397736, -0.053774066269397736, 1.000000238418579]
32,210.098014,['1_train', '1_test'],[1.0, -0.05283595994114876, -0.05283595994114876, 1.0]
33,210.104254,['1_train', '1_test'],[1.0, -0.052233632653951645, -0.052233632653951645, 0.9999998807907104]
34,210.108582,['1_train', '1_test'],[1.0, -0.05090930685400963, -0.05090930685400963, 1.0000001192092896]
35,210.116255,['1_train', '1_test'],[1.0, -0.04878104478120804, -0.04878104478120804, 1.000000238418579]
36,210.117660,['1_train', '1_test'],[1.0, -0.047449611127376556, -0.047449611127376556, 1.0000001192092896]
37,210.119067,['1_train', '1_test'],[1.0, -0.047172971069812775, -0.047172971069812775, 1.000000238418579]
38,210.123973,['1_train', '1_test'],[1.0, -0.049597058445215225, -0.049597058445215225, 1.0000001192092896]
39,210.125410,['1_train', '1_test'],[1.0, -0.049166951328516006, -0.049166951328516006, 1.000000238418579]
40,210.126733,['1_train', '1_test'],[1.0, -0.05206505209207535, -0.05206505209207535, 1.000000238418579]
41,210.128250,['1_train', '1_test'],[1.0, -0.05154431238770485, -0.05154431238770485, 0.9999999403953552]
42,210.129912,['1_train', '1_test'],[1.0, -0.05275385081768036, -0.05275385081768036, 0.9999998807907104]
43,210.137319,['1_train', '1_test'],[1.0, -0.053952138870954514, -0.053952138870954514, 1.0000001192092896]
44,210.140625,['1_train', '1_test'],[1.0, -0.053678736090660095, -0.053678736090660095, 1.0]
45,210.148316,['1_train', '1_test'],[1.0, -0.05395553261041641, -0.05395553261041641, 1.0]
46,210.268120,['1_train', '1_test'],[1.0, -0.05356524512171745, -0.05356524512171745, 1.0]
47,210.309316,['1_train', '1_test'],[1.0, -0.05293096974492073, -0.05293096974492073, 1.000000238418579]
48,210.353509,['1_train', '1_test'],[1.0, -0.053070373833179474, -0.053070373833179474, 1.0]
49,210.527015,['1_train', '1_test'],[1.0, -0.05035105720162392, -0.05035105720162392, 1.0000001192092896]
50,210.572218,['1_train', '1_test'],[1.0, -0.051271986216306686, -0.051271986216306686, 0.9999999403953552]
51,210.616085,['1_train', '1_test'],[1.0, -0.0524774007499218, -0.0524774007499218, 1.000000238418579]
52,210.744556,['1_train', '1_test'],[1.0, -0.05229642614722252, -0.05229642614722252, 1.0000001192092896]
53,210.831663,['1_train', '1_test'],[1.0, -0.05346236750483513, -0.05346236750483513, 1.0]
54,210.918361,['1_train', '1_test'],[1.0, -0.053272683173418045, -0.053272683173418045, 1.0000001192092896]
55,210.957673,['1_train', '1_test'],[1.0, -0.05517346039414406, -0.05517346039414406, 1.0000001192092896]
56,211.000865,['1_train', '1_test'],[1.0, -0.058330997824668884, -0.058330997824668884, 1.0]
57,211.087543,['1_train', '1_test'],[1.0, -0.05921759828925133, -0.05921759828925133, 1.0000001192092896]
58,211.131565,['1_train', '1_test'],[1.0, -0.06145548075437546, -0.06145548075437546, 0.9999999403953552]
59,211.175048,['1_train', '1_test'],[1.0, -0.062373921275138855, -0.062373921275138855, 1.0]
60,211.218271,['1_train', '1_test'],[1.0, -0.062238387763500214, -0.062238387763500214, 1.000000238418579]
61,211.262133,['1_train', '1_test'],[1.0, -0.06221548467874527, -0.06221548467874527, 1.0000001192092896]
62,211.307901,['1_train', '1_test'],[1.0, -0.06262965500354767, -0.06262965500354767, 1.0000001192092896]
63,211.354136,['1_train', '1_test'],[1.0, -0.06247369572520256, -0.06247369572520256, 1.0000001192092896]
64,211.398827,['1_train', '1_test'],[1.0, -0.060374099761247635, -0.060374099761247635, 0.9999998807907104]
65,211.443656,['1_train', '1_test'],[1.0, -0.06110008805990219, -0.06110008805990219, 1.000000238418579]
66,211.487939,['1_train', '1_test'],[1.0, -0.061080045998096466, -0.061080045998096466, 1.0]
67,211.531020,['1_train', '1_test'],[1.0, -0.060961902141571045, -0.060961902141571045, 1.0]
68,211.607653,['1_train', '1_test'],[1.0, -0.061240289360284805, -0.061240289360284805, 1.0]
69,211.653195,['1_train', '1_test'],[1.0, -0.061025191098451614, -0.061025191098451614, 1.0]
70,211.696205,['1_train', '1_test'],[1.0, -0.0598670169711113, -0.0598670169711113, 1.0000001192092896]
71,211.741310,['1_train', '1_test'],[1.0, -0.05900854244828224, -0.05900854244828224, 0.9999999403953552]
72,211.785402,['1_train', '1_test'],[1.0, -0.05743972957134247, -0.05743972957134247, 1.0]
73,211.829641,['1_train', '1_test'],[1.0, -0.05771331116557121, -0.05771331116557121, 1.000000238418579]
74,211.874043,['1_train', '1_test'],[1.0, -0.056946899741888046, -0.056946899741888046, 0.9999998807907104]
75,211.918434,['1_train', '1_test'],[1.0, -0.056116651743650436, -0.056116651743650436, 1.0]
76,211.963408,['1_train', '1_test'],[1.0, -0.05426090583205223, -0.05426090583205223, 1.000000238418579]
77,212.008299,['1_train', '1_test'],[1.0, -0.05526414141058922, -0.05526414141058922, 0.9999998807907104]
78,212.085006,['1_train', '1_test'],[1.0, -0.054907575249671936, -0.054907575249671936, 1.0000001192092896]
79,212.130243,['1_train', '1_test'],[1.0, -0.05171377211809158, -0.05171377211809158, 1.0]
80,212.175581,['1_train', '1_test'],[1.0, -0.05059331655502319, -0.05059331655502319, 1.0000001192092896]
81,212.220781,['1_train', '1_test'],[1.0, -0.047563083469867706, -0.047563083469867706, 1.000000238418579]
82,212.265473,['1_train', '1_test'],[1.0, -0.045560501515865326, -0.045560501515865326, 1.0]
83,212.310052,['1_train', '1_test'],[1.0, -0.04485976696014404, -0.04485976696014404, 1.0]
84,212.355441,['1_train', '1_test'],[1.0, -0.043135903775691986, -0.043135903775691986, 1.0000001192092896]
85,212.399938,['1_train', '1_test'],[1.0, -0.04248647019267082, -0.04248647019267082, 0.9999998807907104]
86,212.442833,['1_train', '1_test'],[1.0, -0.04236011579632759, -0.04236011579632759, 0.9999999403953552]
87,212.487416,['1_train', '1_test'],[1.0, -0.04125861078500748, -0.04125861078500748, 1.0000001192092896]
88,212.531812,['1_train', '1_test'],[1.0, -0.041422631591558456, -0.041422631591558456, 1.0]
