# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
99,173.926516,['1_train', '1_test'],[1.0, -0.020165106281638145, -0.020165106281638145, 1.000000238418579]
100,173.971604,['1_train', '1_test'],[1.0, -0.018998626619577408, -0.018998626619577408, 1.0]
101,174.017070,['1_train', '1_test'],[1.0, -0.019030699506402016, -0.019030699506402016, 1.0000001192092896]
102,174.065476,['1_train', '1_test'],[1.0, -0.016399545595049858, -0.016399545595049858, 1.0000001192092896]
103,174.113381,['1_train', '1_test'],[1.0, -0.014349906705319881, -0.014349906705319881, 1.000000238418579]
104,174.161198,['1_train', '1_test'],[1.0, -0.011470047757029533, -0.011470047757029533, 1.0]
105,174.208770,['1_train', '1_test'],[1.0, -0.010813498869538307, -0.010813498869538307, 0.9999997615814209]
106,174.257004,['1_train', '1_test'],[1.0, -0.009272328577935696, -0.009272328577935696, 1.000000238418579]
107,174.351354,['1_train', '1_test'],[1.0, -0.008888065814971924, -0.008888065814971924, 1.0]
108,174.397074,['1_train', '1_test'],[1.0, -0.007454477250576019, -0.007454477250576019, 1.0]
109,174.445505,['1_train', '1_test'],[1.0, -0.0065525732934474945, -0.0065525732934474945, 1.000000238418579]
110,174.541555,['1_train', '1_test'],[1.0, -0.004571707919239998, -0.004571707919239998, 0.9999999403953552]
111,174.589647,['1_train', '1_test'],[1.0, -0.003264298662543297, -0.003264298662543297, 1.0]
112,174.637941,['1_train', '1_test'],[1.0, -0.00038647884503006935, -0.00038647884503006935, 1.0]
113,174.686831,['1_train', '1_test'],[1.0, 0.0012361984699964523, 0.0012361984699964523, 0.9999999403953552]
114,174.735328,['1_train', '1_test'],[1.0, 0.00501988735049963, 0.00501988735049963, 1.000000238418579]
115,174.784182,['1_train', '1_test'],[1.0, 0.0064131091348826885, 0.0064131091348826885, 0.9999999403953552]
116,174.832256,['1_train', '1_test'],[1.0, 0.006295092403888702, 0.006295092403888702, 0.9999998807907104]
117,174.880472,['1_train', '1_test'],[1.0, 0.008697999641299248, 0.008697999641299248, 1.0000001192092896]
